patent_id,title,abstract,applicationdate,publicationdate,prioritydate,google_patents_link
CN2451171Y,Tricycle scooter,"The utility model relates to a tricycle scooter. The tricycle scooter is characterized in that the front vehicle frame body of the tricycle scooter is provided with a faucet rod, the lower part of the tricycle scooter is provided with a parallel link mechanism, the parallel link mechanism and both sides of the front vehicle frame body are respectively provided with a pivoting frame, the outer end of the pivoting frame is pivotally connected with a wheel frame, and the outer side of the wheel frame is pivotally connected with a front wheel. Besides, the front vehicle frame body is pivotally provided with a V-shaped connecting rod, and a side connecting rod is pivotally arranged between both ends of the V-shaped connecting rod and the wheel frame. The bottom end of the faucet rod is provided with a regulating mechanism, which is used for regulating the pulling force of a return spring and controlling the returning of two front wheels. Therefore, the tricycle scooter runs smoothly and is not easy to incline. xxnewline",20000922,20011003,20000922,https://patents.google.com/patent/CN2451171Y/en
CN102355165A,Photovoltaic power generation device with global maximum power output function,"The invention discloses a photovoltaic power generation device with a global maximum power output function, which comprises a photovoltaic cell array and a main converter, wherein the photovoltaic cell array comprises a plurality of series photovoltaic cells. The photovoltaic power generation device also comprises a power adjustment array and an auxiliary converter, wherein an input end of the auxiliary converter is connected with a direct current bus of the photovoltaic cell array, and the power adjustment array comprises power adjustment units corresponding to the photovoltaic cells one by one; and the power adjustment units are connected with the corresponding photovoltaic cells in parallel, and input ends of the power adjustment units are connected with an output end of the auxiliary converter. The photovoltaic power generation device has the advantages that the structure is simple, the cost is low, and the reduced output current under partial shade conditions can be automatically compensated to realize the maximum power output of a single photovoltaic cell. xxnewline",20110930,20120215,20110930,https://patents.google.com/patent/CN102355165A/en
CN205071815U,New forms of energy water conservation irrigation system,"The embodiment of the utility model discloses new forms of energy water conservation irrigation system, include: supply electronic system, controller, water supply subsystem and drip irrigation the subsystem, wherein: supply electronic system to be provided with solar cell panel and solar battery, supply electronic system with the water supply subsystem all with the controller is connected, the sub - system configuration that supplies water there is the water pump, the power input of water supply subsystem end with supply electronic system to connect, the water supply subsystem with it connects to drip irrigation the water inlet of subsystem. This new forms of energy water conservation irrigation system on drip irrigation system's basis, expands and has connected solar battery confession electronic system, new forms of energy water conservation irrigation system further utilizes the solar energy power supply on the basis of the water economy energy driped irrigation, reach better energy -concerving and environment -protective effect from the angle of water energy conservation and electric energy saving. xxnewline",20151029,20160309,20151029,https://patents.google.com/patent/CN205071815U/en
CN104052873A,"Terminal, multi-screen unlocking device and method and unlocking method for different areas of screens","The invention relates to the technical field of communication, in particular to a terminal, a multi-screen unlocking device and method and an unlocking method for different areas of screens. The multi-screen unlocking method comprises the steps of receiving an unlocking instruction which contains recognition codes and unlocking passwords, pointing at corresponding screens in multiple screens based on the recognition codes, carrying out unlocking verification on the corresponding screens in the multiple screens through the unlocking passwords, and outputting unlocking results based on unlocking verification results. In the multiple screens, the display screen which a user want to unlock can be judged according to the recognition codes in the unlocking instruction input by the user, the corresponding screens can be found out, unlocking verification can be carried out to the corresponding screens through the unlocking passwords, and the screens corresponding to the recognition codes can be unlocked if the unlocking passwords are correct. xxnewline",20140609,20140917,20140609,https://patents.google.com/patent/CN104052873A/en
JP2005309866A,IMAGE FILE MANAGEMENT SYSTEM,"PROBLEM TO BE SOLVED: To provide an image file management system wherein meaning of a link is intelligible.  SOLUTION: This image file management system includes: a retrieval part 10 for deciding whether a text of one word is included in registration texts inside all retrieving files or not even if a retrieval text inputted by an operator is the text of one word, and retrieving an according image file; and a reference display screen for displaying the image file designated as the result of the retrieval and link contents information of a link file linked to the image file. In the image file management system, the linked file is opened from a link file production program in response to operation of link file display by the operator.  COPYRIGHT: (C)2006,JPO&NCIPI xxnewline",20040422,20051104,20040422,https://patents.google.com/patent/JP2005309866A/en
CN102810194A,Product quality tracing and anti-fake system on basis of obvious codes and secret codes,"The invention relates to the technical field of information, in particular to a product quality tracing and anti-fake system on the basis of obvious codes and secret codes. The product quality tracing and anti-fake system comprises two-dimension codes, a terminal query device and a product information platform, wherein the two-dimension codes include a tracing code and an anti-fake code, the product information platform includes basic product information, the two-dimensional codes and a product are bound together, the terminal query device uploads two-dimensional information and user data to the product information platform via reading and analyzing the two-dimensional codes, the product information platform queries and verifies the received data and returns tracing information and anti-fake information of the product to the terminal query device, and the terminal query device is communicated with the product information platform via a wireless network. The product quality tracing and anti-fake system on the basis of the obvious codes and the secret codes has the advantages that traceability is strong, a full process including all links from production to circulation to a consumer can be traced; individual recommendation is realized; and the product quality tracing and anti-fake system is convenient and quick to utilize, can realize querying in one step since the basic product information, quality detection information and product recommendation are integrated. xxnewline",20120727,20121205,20120727,https://patents.google.com/patent/CN102810194A/en
CN1927230A,Process for extracting and purifying resin from traditional Chinese medicine by ultrasonic,"The invention relates to a method for extracting and purifying single traditional medicine or the effective component of traditional medicine compound. Wherein, it comprises that: broking the single traditional medicine or traditional medicine compound into powder, to be mixed with 15-20 deals of water in mixing pot (7); entering into tubular ultrasonic extracting pot (1) to be extracted in room temperature via ultrasonic for 20-40mins; the mixture suspension via helical propelling device passes whole ultrasonic tube; via the automatic discharge motor (10), flowing into centrifugal machine (2) via the traditional medicine powder mixture suspension outlet (11), to separate slag and soup; the soup is stored in storage pot (3), to be filtered via filter (4); the soup is pumped into high storage pot (5), to enter into large-hole adsorption resin post (6) to adsorb and separate; when the adsorption is end, washing with water to remove foreign material; washing with 60-70% alcohol; the eluent is concentrated and dried to obtain single traditional medicine or traditional medicine compound resin purified matter. The invention can keep the effect of former formula, while the extracted matter is 2-5% of traditional medicine and the product will not adsorb water, to be made into agent without adding auxiliary material or only adding little auxiliary material. xxnewline",20060906,20070314,20060906,https://patents.google.com/patent/CN1927230A/en
JP2017511954A,A multi-purpose lighting system of a distribution cabinet,"In one embodiment, a device which distributes an item contains a computer control controller combined with a light source relevant to each of a plurality of compartments which keep medical supplies or a medical supply, and a plurality of compartments, and a light source. A computer control controller maintains stock of a content of a plurality of compartments, and receives a demand which distributes medical supplies or a medical supply from a plurality of compartments. According to a demand which distributes specific medical supplies or a medical supply item, a computer control controller illuminates a light source relevant to a compartment holding specific medical supplies or a medical supply item, and a light source is illuminated by luminosity controlled by a computer control controller. Luminosity of a light source is controllable according to luminosity from which ambient environment was detected. A light source is a multicolor light source. xxnewline",20150127,20170427,20140128,https://patents.google.com/patent/JP2017511954A/en
JP2009524041A,"A navigation device constituted for a method of storing a position of parking vehicles, and its object","The present invention relates to a navigation device possessing a processor unit (11). When parking of vehicles is detected and parking is detected, a navigation device (10) is constituted so that information about a position of parking vehicles may be judged. Then, information about a position of parking vehicles is stored. Stored information may be reused later, in order to find out parking vehicles. [Chosen drawing] Drawing 5 xxnewline",20070112,20090625,20060118,https://patents.google.com/patent/JP2009524041A/en
US2014371736A1,"HEAT ABLATION SYSTEMS, DEVICES AND METHODS FOR THE TREATMENT OF TISSUE",A system for treatment target tissue comprises an ablation device and an energy delivery unit. The ablation device comprises an elongate tube with an expandable treatment element. The system delivers a thermal dose of energy to treat the target tissue. Methods of treating target tissue are also provided. xxnewline,20140827,20141218,20120227,https://patents.google.com/patent/US2014371736A1/en
