'ID,Serial No,Equipment Type,Location,Employee No.,Impact Date,Impact Time,Impact Timezone,AP,Type,X-Axis Threshold,X-Axis Captured,Y-Axis Threshold,Y-Axis Captured,Impulse Threshold,Impulse Captured,Locked,Lock Cleared Date,Lock Cleared Time,Lock Cleared Timezone,Acknowledged Date,Acknowledged Time,Acknowledged Timezone,Comments
899 F,10009678,PR,Bunker Hill Warehouse,3637,9/9/2020,10:51:07 AM,EDT,*BU 01,High,10,11,10,2,20,59,,,,,,,,
179 F,1A544983,RC5500,Celina,17560,9/14/2020,7:30:34 AM,EDT,Out of Range,High,5,13,5,8,15,23,,,,,9/21/2020,12:30:51 PM,EDT,John was coming out of a trailer.
052 F,1A446908,RM6000,Celina,27623,9/12/2020,4:00:31 AM,EDT,AC4A679C04E0,Low,0,2,0,3,20,23,,,,,9/12/2020,4:00:35 AM,EDT,Auto Acknowledged by System
150 F,9A229806,SC,Celina,56045,9/10/2020,5:14:03 PM,EDT,00A742B5A4FC,High,5,4,5,5,15,16,,,,,9/10/2020,5:20:40 PM,EDT,Monica is having issues with the impact alarm going off while driving down the aisle. She reported it to me when it happened. She states that it goes off but only for a couple seconds then stops.
150 F,9A229806,SC,Celina,680,9/4/2020,12:09:21 PM,EDT,*CEL SS70,High,5,5,5,5,15,16,,,,,9/4/2020,12:18:32 PM,EDT,No Comment
178 F,9A217214,SC,Celina,2359,9/11/2020,10:34:09 AM,EDT,Out of Range,High,5,6,5,8,15,0,,,,,9/11/2020,12:52:19 PM,EDT,Testing Infolink alarm.
180 F,9A193372,SC,Celina,20575,9/24/2020,12:59:36 PM,EDT,00A742B5A4F3,High,5,5,5,4,15,33,,,,,,,,
185 M,9A193281,SC,Celina,2359,9/11/2020,10:37:54 AM,EDT,*CEL W80,High,5,5,5,11,15,0,,,,,9/11/2020,12:52:26 PM,EDT,Testing Infolink alarm.
185 M,9A193281,SC,Celina,2359,9/11/2020,10:43:14 AM,EDT,*CEL W80,High,5,5,5,7,15,0,,,,,9/11/2020,12:52:10 PM,EDT,Testing Infolink alarm.
185 M,9A193281,SC,Celina,2359,9/11/2020,10:43:44 AM,EDT,*CEL W80,High,5,5,5,10,15,0,,,,,9/11/2020,12:52:00 PM,EDT,Testing Infolink alarm.
