'ID,Serial No,Location,Mfg.,Type,Model,Reading Date,Reading Time,Reading Timezone,Hour Meter,Operator Logon,Equipment Idle,Equipment Meter Usage,Equipment Travel,Equipment Hydraulic
120 F,9A151354,Bunker Hill Warehouse,Crown Equipment Corporation,FC,FC4020-50,09/29/20,01:26:27 PM,EDT,1241.4,7.6,2.7,4.9,3.2,0.6
899 F,10009678,Bunker Hill Warehouse,Crown Equipment Corporation,PR,PR4500-80,09/29/20,11:03:34 AM,EDT,607.6,50.2,41.8,8.4,9.5,0.6
075 F,1A526198,Bunker Hill Warehouse,Crown Equipment Corporation,RM6000,RMD6095S-32,09/29/20,02:30:27 PM,EDT,337.4,33.9,24.6,9.3,6.1,1.8
512 F,9A230845,Bunker Hill Warehouse,Crown Equipment Corporation,WAVE,WAV60-118,09/29/20,10:46:41 AM,EDT,87.9,13.0,11.2,1.9,0.9,0.3
525 F,10064195,Bunker Hill Warehouse,Crown Equipment Corporation,WAVE,WAV60-118,09/29/20,09:30:09 AM,EDT,84.0,6.6,5.2,1.4,0.9,0.1
125 F,9A203309,Celina,Crown Equipment Corporation,FC,FC4525-60,09/30/20,05:51:43 AM,EDT,9925.0,165.6,18.1,147.6,110.4,9.2
141 F,9A229743,Celina,Crown Equipment Corporation,FC,FC5225-55,09/30/20,04:53:41 AM,EDT,3793.6,97.2,33.6,63.6,39.7,10.1
157 F,9A208144,Celina,Crown Equipment Corporation,FC,FC4525-50,09/29/20,02:18:53 PM,EDT,3212.4,72.4,51.0,21.4,12.7,1.4
192 F,10042965,Celina,Crown Equipment Corporation,FC,FC5245-65,09/30/20,05:48:44 AM,EDT,3231.0,156.9,97.9,59.0,37.0,16.9
634 F,65036,Celina,Hubtex,Hubtex,MSU 37 2140-PUS,09/30/20,05:59:59 AM,EDT,6637.0,533.0,20.7,512.3,24.0,9.6
694 F,63999,Celina,Hubtex,Hubtex,MSU+37+2140-AMR,09/30/20,05:59:59 AM,EDT,29885.1,489.8,0.2,489.6,36.8,357.6
922 F,6A254113,Celina,Crown Equipment Corporation,PE,PE4500-80,09/29/20,11:12:02 PM,EDT,3105.2,6.4,3.5,2.9,3.2,0.1
847 M,6A324462,Celina,Crown Equipment Corporation,PR,PR4500-80,09/29/20,01:21:52 PM,EDT,149.8,9.9,6.3,3.5,4.1,0.1
977 M,10060813,Celina,Crown Equipment Corporation,PR,PR4500-80,09/30/20,03:00:00 AM,EDT,179.5,25.8,21.5,4.2,4.9,0.3
801 O,10192724,Celina,Crown Equipment Corporation,PW,PW3520-80,09/30/20,05:18:26 AM,EDT,32.1,48.4,32.1,16.3,16.3,0.6
104 F,1A435566,Celina,Crown Equipment Corporation,RC5500,RC5535-35,09/29/20,02:30:44 PM,EDT,6238.3,127.6,63.7,63.9,47.3,21.7
110 F,1A495891,Celina,Crown Equipment Corporation,RC5500,RC5545-40,09/30/20,05:59:59 AM,EDT,6423.7,401.6,125.5,276.1,213.9,51.2
116 F,1A324944,Celina,Crown Equipment Corporation,RC5500,RC5535-35,09/30/20,05:39:22 AM,EDT,14336.1,99.4,50.1,49.3,34.3,8.8
117 M,1A325007,Celina,Crown Equipment Corporation,RC5500,RC5535-35,09/29/20,01:54:06 PM,EDT,11626.4,119.0,39.3,79.6,60.4,15.7
121 F,1A536713,Celina,Crown Equipment Corporation,RC5500,RC5535-35,09/29/20,02:16:46 PM,EDT,2822.7,121.0,70.2,50.8,33.4,10.3
126 F,1A518177,Celina,Crown Equipment Corporation,RC5500,RC5525-30,09/30/20,05:59:59 AM,EDT,1462.8,229.4,89.4,140.0,113.1,31.4
129 F,1A573870,Celina,Crown Equipment Corporation,RC5500,RC5545-40,09/29/20,11:21:50 AM,EDT,149.8,46.1,25.8,20.3,13.9,3.0
130 M,1A371361,Celina,Crown Equipment Corporation,RC5500,RC5535-35,09/30/20,05:03:35 AM,EDT,10516.4,155.3,66.8,88.5,70.1,8.0
137 M,1A472712,Celina,Crown Equipment Corporation,RC5500,RC5535-35,09/30/20,04:28:11 AM,EDT,3747.5,139.0,63.2,75.8,60.8,5.9
166 O,1A400653,Celina,Crown Equipment Corporation,RC5500,RC5535-35,09/30/20,05:20:48 AM,EDT,4951.4,93.4,54.7,38.7,29.7,6.7
170 F,1A562185,Celina,Crown Equipment Corporation,RC5500,RC5535-35,09/30/20,05:59:59 AM,EDT,4370.9,459.3,143.1,316.2,253.0,83.3
179 F,1A544983,Celina,Crown Equipment Corporation,RC5500,RC5535-35,09/30/20,02:36:24 AM,EDT,3053.1,161.8,68.6,93.3,72.4,19.0
183 M,1A333132,Celina,Crown Equipment Corporation,RC5500,RC5530C-30,09/30/20,05:20:59 AM,EDT,2990.8,52.8,28.4,24.5,14.3,4.2
187 F,1A328955,Celina,Crown Equipment Corporation,RC5500,RC5535-35,09/29/20,06:45:13 PM,EDT,10054.5,87.4,48.7,38.6,28.3,5.7
188 F,1A328681,Celina,Crown Equipment Corporation,RC5500,RC5545-40,09/29/20,02:32:10 PM,EDT,13885.3,133.6,66.9,66.7,53.2,13.8
189 F,1A328680,Celina,Crown Equipment Corporation,RC5500,RC5545-40,09/30/20,05:59:59 AM,EDT,16086.4,273.8,161.4,112.4,80.9,30.7
191 F,1A342071,Celina,Crown Equipment Corporation,RC5500,RC5535-35,09/29/20,12:49:40 PM,EDT,7553.4,155.6,52.0,103.6,71.5,16.8
004 F,1A480272,Celina,Crown Equipment Corporation,RM6000,RM6025-45,09/29/20,10:25:29 PM,EDT,5075.5,260.0,167.5,92.6,62.7,24.2
008 F,1A511129,Celina,Crown Equipment Corporation,RM6000,RM6025-45,09/30/20,05:59:59 AM,EDT,3770.3,319.3,204.9,114.3,77.3,30.9
022 F,1A417680,Celina,Crown Equipment Corporation,RM6000,RM6025-45,09/29/20,12:19:42 PM,EDT,12113.1,144.4,60.8,83.6,57.8,18.1
051 F,1A519098,Celina,Crown Equipment Corporation,RM6000,RM6025-45,09/30/20,05:59:59 AM,EDT,3825.6,304.7,185.7,119.1,77.7,26.9
052 F,1A446908,Celina,Crown Equipment Corporation,RM6000,RM6025-45,09/30/20,05:33:06 AM,EDT,4932.1,209.9,139.4,70.5,55.5,20.2
069 F,1A480036,Celina,Crown Equipment Corporation,RM6000,RM6025-45,09/30/20,05:59:59 AM,EDT,4797.0,393.6,165.1,228.5,185.7,71.3
073 F,1A485060,Celina,Crown Equipment Corporation,RM6000,RM6025-45,09/30/20,05:54:33 AM,EDT,6783.0,106.2,53.4,52.8,39.0,12.5
078 F,1A575976,Celina,Crown Equipment Corporation,RM6000,RM6025-45,09/29/20,10:15:39 PM,EDT,691.2,243.9,156.0,87.8,69.4,22.3
061 F,1A400677,Celina,Crown Equipment Corporation,RR,RR5725-45,09/30/20,03:56:40 AM,EDT,8796.2,26.3,16.1,10.1,7.1,2.3
115 F,10029965,Celina,Crown Equipment Corporation,SC,SC5225-35,09/30/20,05:59:59 AM,EDT,11358.1,405.9,124.2,281.8,177.4,39.1
142 F,10064197,Celina,Crown Equipment Corporation,SC,SC5225-35,09/30/20,01:59:59 AM,EDT,6052.3,247.8,109.5,138.3,103.4,26.6
150 F,9A229806,Celina,Crown Equipment Corporation,SC,SC5225-35,09/30/20,05:59:59 AM,EDT,14913.2,405.5,112.2,293.3,199.3,62.4
152 F,10051828,Celina,Crown Equipment Corporation,SC,SC5225-35,09/30/20,05:33:01 AM,EDT,13633.9,348.5,53.3,295.2,228.4,52.2
155 F,9A205677,Celina,Crown Equipment Corporation,SC,SC5245-35,09/29/20,02:09:10 PM,EDT,5693.2,63.4,35.4,28.1,21.9,3.1
165 F,9A205122,Celina,Crown Equipment Corporation,SC,SC5225-35,09/30/20,05:59:59 AM,EDT,27564.1,305.3,55.9,249.4,179.0,46.6
176 F,9A217212,Celina,Crown Equipment Corporation,SC,SC5225-35,09/30/20,05:59:59 AM,EDT,21280.6,299.0,70.6,228.4,174.4,45.2
177 F,9A217213,Celina,Crown Equipment Corporation,SC,SC5225-35,09/30/20,05:59:59 AM,EDT,16885.1,328.2,87.6,240.6,149.6,59.7
178 F,9A217214,Celina,Crown Equipment Corporation,SC,SC5225-35,09/30/20,12:28:56 AM,EDT,14484.9,300.9,139.3,161.6,124.2,29.8
180 F,9A193372,Celina,Crown Equipment Corporation,SC,SC5225-35,09/30/20,05:59:59 AM,EDT,24545.2,332.1,99.1,233.0,161.9,62.8
