id,battery_id,equipment_id,battery_charge_type_txt_id,eqlz_status_txt_id,charge_start_dt,charge_start_dt_tz_id,charge_start_dt_wall,charge_end_dt,charge_end_dt_tz_id,charge_end_dt_wall,charge_amp_hours,dischrg_start_dt,dischrg_start_dt_tz_id,dischrg_start_dt_wall,dischrg_start_bdi,dischrg_start_battery_volts,dischrg_end_dt,dischrg_end_dt_tz_id,dischrg_end_dt_wall,dischrg_end_bdi,dischrg_end_battery_volts,dischrg_amp_hours,dischrg_work_accum_sec,insert_dt
155578,128,NULL,OPC,NTEQL,06:00.0,142,06:00.0,59:02.0,142,59:02.0,401,59:19.0,142,59:19.0,67,53.1,59:19.0,142,59:19.0,67,55.2,0,0,04:36.0
155579,128,NULL,OPC,NTEQL,59:19.0,142,59:19.0,20:19.0,142,20:19.0,340,26:33.0,142,26:33.0,100,56,26:33.0,142,26:33.0,100,57.6,0,0,14:16.0
155581,310,772,CHN,NTEQL,18:28.0,142,18:28.0,27:47.0,142,27:47.0,461,18:29.0,142,18:29.0,100,42.1,21:54.0,142,21:54.0,93,40.3,93,4052,36:32.0
155585,310,772,CHN,NTEQL,21:54.0,142,21:54.0,35:34.0,142,35:34.0,25.7,36:00.0,142,36:00.0,97,41,18:50.0,142,18:50.0,96,40.1,30.3,1524,32:40.0
155589,310,772,CHN,NTEQL,18:50.0,142,18:50.0,31:33.0,142,31:33.0,23.7,31:41.0,142,31:41.0,100,40.9,13:25.0,142,13:25.0,92,40,38,1738,25:33.0
155591,310,772,CHN,NTEQL,13:25.0,142,13:25.0,24:16.0,142,24:16.0,20,25:23.0,142,25:23.0,95,40.5,50:26.0,142,50:26.0,93,40,24.7,1017,20:29.0
155595,310,772,CHN,NTEQL,50:26.0,142,50:26.0,18:57.0,142,18:57.0,53.3,19:16.0,142,19:16.0,100,41.2,49:42.0,142,49:42.0,100,40.7,17.7,831,26:56.0
155601,82,NULL,CHN,NTEQL,08:58.0,142,08:58.0,00:33.0,142,00:33.0,630.3,19:13.0,142,19:13.0,100,40.8,19:13.0,142,19:13.0,100,43.3,0,0,44:52.0
155608,285,NULL,CHN,NTEQL,31:12.0,142,31:12.0,33:42.0,142,33:42.0,217.3,33:50.0,142,33:50.0,100,41,33:50.0,142,33:50.0,100,39.2,0,0,54:17.0
155615,135,NULL,CHN,NTEQL,02:30.0,142,02:30.0,55:17.0,142,55:17.0,669,24:12.0,142,24:12.0,100,54.5,24:12.0,142,24:12.0,100,57.5,0,0,28:16.0
155620,235,NULL,CHN,NTEQL,30:30.0,142,30:30.0,19:00.0,142,19:00.0,92.7,20:13.0,142,20:13.0,28,38.2,20:13.0,142,20:13.0,28,40.3,0,0,21:29.0
155622,235,NULL,CHN,NTEQL,20:13.0,142,20:13.0,27:55.0,142,27:55.0,385,36:00.0,142,36:00.0,80,41.3,36:00.0,142,36:00.0,80,43,0,0,29:13.0
155623,235,NULL,CHN,NTEQL,36:00.0,142,36:00.0,14:51.0,142,14:51.0,83.3,18:12.0,142,18:12.0,91,41.9,18:12.0,142,18:12.0,91,44.7,0,0,34:11.0
155624,235,NULL,CHN,NTEQL,18:12.0,142,18:12.0,22:34.0,142,22:34.0,1.7,26:00.0,142,26:00.0,91,41.8,26:00.0,142,26:00.0,91,44.7,0,0,34:26.0
155636,87,NULL,CHN,NTEQL,10:20.0,142,10:20.0,04:01.0,142,04:01.0,597,08:06.0,142,08:06.0,84,40.4,08:06.0,142,08:06.0,84,42,0,0,32:44.0
155639,81,366,CHN,NTEQL,50:46.0,142,50:46.0,43:23.0,142,43:23.0,188,26:52.0,142,26:52.0,50,38.7,33:13.0,142,33:13.0,30,39.7,198.3,6537,59:48.0
155640,288,719,CHN,NTEQL,38:55.0,142,38:55.0,37:16.0,142,37:16.0,39,34:24.0,142,34:24.0,100,41.1,23:21.0,142,23:21.0,96,41.8,22.3,815,25:38.0
155641,310,772,CHN,NTEQL,49:42.0,142,49:42.0,25:29.0,142,25:29.0,50.7,25:58.0,142,25:58.0,100,40.9,51:27.0,142,51:27.0,70,39.6,230,12125,33:01.0
155642,288,727,CHN,NTEQL,23:21.0,142,23:21.0,36:00.0,142,36:00.0,53.7,53:50.0,142,53:50.0,100,41,49:39.0,142,49:39.0,92,40.7,53.7,1038,35:01.0
155646,81,366,CHN,NTEQL,33:13.0,142,33:13.0,58:07.0,142,58:07.0,88.3,58:39.0,142,58:39.0,41,37.8,21:15.0,142,21:15.0,32,39.8,83.3,2656,18:49.0
155647,116,592,CHN,NTEQL,21:42.0,142,21:42.0,59:03.0,142,59:03.0,105.7,59:05.0,142,59:05.0,77,25.9,07:09.0,142,07:09.0,51,25.6,196.7,7800,22:04.0
155649,260,NULL,CHN,NTEQL,59:14.0,142,59:14.0,50:55.0,142,50:55.0,721.3,56:40.0,142,56:40.0,100,41.6,24:11.0,142,24:11.0,25,39,654.3,18282,30:28.0
155651,299,765,CHN,NTEQL,47:10.0,142,47:10.0,20:56.0,142,20:56.0,681.7,56:40.0,142,56:40.0,100,41.9,27:58.0,142,27:58.0,24,39.1,659.3,18503,51:17.0
155652,310,772,CHN,NTEQL,51:27.0,142,51:27.0,31:36.0,142,31:36.0,77,32:47.0,142,32:47.0,80,39.6,39:35.0,142,39:35.0,68,39.3,96.7,4008,55:48.0
155654,310,772,CHN,NTEQL,39:35.0,142,39:35.0,54:54.0,142,54:54.0,29,55:11.0,142,55:11.0,72,39,04:14.0,142,04:14.0,70,39.2,51.3,2249,12:33.0
155655,310,772,CHN,NTEQL,04:14.0,142,04:14.0,11:20.0,142,11:20.0,12.7,12:03.0,142,12:03.0,72,38.7,46:15.0,142,46:15.0,69,39.1,27.3,1319,57:03.0
155656,310,772,CHN,NTEQL,46:15.0,142,46:15.0,55:12.0,142,55:12.0,16.3,55:35.0,142,55:35.0,72,38.7,12:25.0,142,12:25.0,72,39.3,10.7,513,36:35.0
155657,116,592,CHN,NTEQL,07:09.0,142,07:09.0,28:09.0,142,28:09.0,155.3,20:58.0,142,20:58.0,72,25.6,29:34.0,142,29:34.0,62,26.8,41.7,2443,18:27.0
155661,310,772,CHN,NTEQL,12:25.0,142,12:25.0,34:42.0,142,34:42.0,42,34:52.0,142,34:52.0,77,39,22:40.0,142,22:40.0,65,39,76,3374,38:09.0
155662,272,736,CHN,NTEQL,35:51.0,142,35:51.0,58:08.0,142,58:08.0,447.3,06:52.0,142,06:52.0,100,41.5,36:34.0,142,36:34.0,45,38.8,480.7,12744,40:04.0
155665,73,582,CHN,NTEQL,15:00.0,142,15:00.0,51:48.0,142,51:48.0,270.7,51:57.0,142,51:57.0,37,37.4,28:43.0,142,28:43.0,8,38.1,292,8288,16:26.0
155666,310,772,CHN,NTEQL,22:40.0,142,22:40.0,36:47.0,142,36:47.0,26.3,37:16.0,142,37:16.0,69,38.5,52:36.0,142,52:36.0,69,39.3,13,604,23:16.0
155667,226,NULL,CHN,NTEQL,20:44.0,142,20:44.0,09:19.0,142,09:19.0,429.7,22:42.0,142,22:42.0,100,41.9,07:30.0,142,07:30.0,40,39.3,442.3,12406,47:04.0
155668,267,612,CHN,NTEQL,31:12.0,142,31:12.0,50:17.0,142,50:17.0,565.3,59:26.0,142,59:26.0,86,41.3,20:20.0,142,20:20.0,25,39.1,433,12635,07:24.0
155669,267,NULL,CHN,NTEQL,20:20.0,142,20:20.0,52:51.0,142,52:51.0,65.3,53:44.0,142,53:44.0,34,38.4,53:44.0,142,53:44.0,34,40.2,0,0,08:23.0
155670,267,NULL,CHN,NTEQL,53:44.0,142,53:44.0,26:17.0,142,26:17.0,189,28:27.0,142,28:27.0,59,40.1,28:27.0,142,28:27.0,59,41.9,0,0,11:51.0
155671,267,NULL,CHN,NTEQL,28:27.0,142,28:27.0,08:21.0,142,08:21.0,79,12:41.0,142,12:41.0,69,40.9,12:41.0,142,12:41.0,69,43,0,0,13:30.0
155672,267,NULL,CHN,NTEQL,12:41.0,142,12:41.0,38:29.0,142,38:29.0,77.3,40:16.0,142,40:16.0,80,41.2,40:16.0,142,40:16.0,80,43.9,0,0,16:43.0
155673,267,NULL,CHN,NTEQL,40:16.0,142,40:16.0,40:58.0,142,40:58.0,0,49:12.0,142,49:12.0,80,40.9,49:12.0,142,49:12.0,80,43.4,0,0,16:58.0
155674,267,NULL,CHN,EQL,49:12.0,142,49:12.0,31:41.0,142,31:41.0,117.7,38:39.0,142,38:39.0,95,41.7,38:39.0,142,38:39.0,95,43.3,0,0,27:34.0
155675,256,NULL,CHN,NTEQL,37:21.0,142,37:21.0,24:19.0,142,24:19.0,498.7,40:35.0,142,40:35.0,100,41.3,08:43.0,142,08:43.0,38,39.3,567.3,12382,47:06.0
155676,221,736,CHN,NTEQL,49:02.0,142,49:02.0,38:04.0,142,38:04.0,584,43:56.0,142,43:56.0,98,42,44:59.0,142,44:59.0,13,38.8,736.3,21207,52:03.0
155677,275,529,CHN,NTEQL,15:18.0,142,15:18.0,17:17.0,142,17:17.0,400.3,03:59.0,142,03:59.0,100,41.3,25:57.0,142,25:57.0,64,40.4,311,9715,15:34.0
155679,310,772,CHN,NTEQL,52:36.0,142,52:36.0,21:26.0,142,21:26.0,54.7,21:43.0,142,21:43.0,76,39,31:19.0,142,31:19.0,61,38.9,114.7,5120,57:35.0
155680,140,522,CHN,NTEQL,31:53.0,142,31:53.0,12:44.0,142,12:44.0,217.7,54:21.0,142,54:21.0,100,42.7,45:28.0,142,45:28.0,92,42.8,51,1573,03:01.0
155682,128,560,OPC,EQL,26:33.0,142,26:33.0,26:15.0,142,26:15.0,249.3,53:20.0,142,53:20.0,100,55.5,25:12.0,142,25:12.0,29,52.5,598,27372,23:43.0
155683,285,466,CHN,EQL,33:50.0,142,33:50.0,33:39.0,142,33:39.0,83,47:21.0,142,47:21.0,100,41.2,58:30.0,142,58:30.0,58,38.9,298.3,9781,40:39.0
155684,285,NULL,CHN,NTEQL,58:30.0,142,58:30.0,37:46.0,142,37:46.0,322,20:09.0,142,20:09.0,100,40.7,24:43.0,142,24:43.0,62,39.1,267,8091,07:51.0
155690,74,NULL,CHN,NTEQL,12:44.0,142,12:44.0,01:05.0,142,01:05.0,440.3,03:39.0,142,03:39.0,87,40.1,03:39.0,142,03:39.0,87,41.8,0,0,10:05.0
155692,159,NULL,CHR,NTEQL,23:38.0,142,23:38.0,06:19.0,142,06:19.0,507,19:23.0,142,19:23.0,100,41.9,00:09.0,142,00:09.0,31,38.9,600.7,16952,11:54.0
155694,254,503,CHN,NTEQL,21:34.0,142,21:34.0,17:32.0,142,17:32.0,669.3,52:17.0,142,52:17.0,100,41,07:38.0,142,07:38.0,19,38.1,730,18724,58:51.0
155699,288,466,CHN,NTEQL,49:39.0,142,49:39.0,07:12.0,142,07:12.0,75,00:12.0,142,00:12.0,100,40.9,04:35.0,142,04:35.0,86,42.1,100,5132,39:14.0
155701,310,772,CHN,NTEQL,31:19.0,142,31:19.0,56:24.0,142,56:24.0,47.7,56:55.0,142,56:55.0,67,38.5,36:45.0,142,36:45.0,44,38.4,149.3,8088,01:13.0
155702,239,665,CHN,NTEQL,58:20.0,142,58:20.0,20:09.0,142,20:09.0,347.7,57:47.0,142,57:47.0,100,41.6,45:40.0,142,45:40.0,56,39.2,333,9490,42:06.0
155703,306,520,CHN,NTEQL,01:21.0,142,01:21.0,22:58.0,142,22:58.0,42,23:00.0,142,23:00.0,54,25.4,21:00.0,142,21:00.0,46,26,45.7,2640,47:49.0
155704,310,772,CHN,NTEQL,36:45.0,142,36:45.0,55:14.0,142,55:14.0,34.7,57:45.0,142,57:45.0,49,37.9,09:17.0,142,09:17.0,39,38.4,75.7,3107,28:32.0
155705,116,592,CHN,NTEQL,29:34.0,142,29:34.0,57:20.0,142,57:20.0,75.3,16:37.0,142,16:37.0,72,25.9,18:12.0,142,18:12.0,48,26.6,177.7,8700,54:40.0
155707,260,529,CHN,NTEQL,24:11.0,142,24:11.0,57:39.0,142,57:39.0,701,28:26.0,142,28:26.0,100,41.4,55:26.0,142,55:26.0,13,38.8,756.7,19271,04:38.0
155708,128,560,OPC,NTEQL,25:12.0,142,25:12.0,22:29.0,142,22:29.0,200.7,22:33.0,142,22:33.0,53,51.9,16:00.0,142,16:00.0,27,52.3,220,9875,20:13.0
