patent_id,ipc8,ipc_num
CN1064847A, B66B   1/26        20060101AFI20051220RMJP         ,1
CN1064847A,  B66B   9/04        20060101ALI20051220RMJP         ,2
CN1064847A,  F15B   1/04        20060101A I20051110RMEP         ,3
CN1064847A,  F15B  11/00        20060101A I20051110RMEP         ,4
CN1064847A,  F15B  21/14        20060101ALI20051220RMJP,5
CN1066318A, F01C  21/04        20060101AFI20051220RMJP         ,1
CN1066318A,  F01C   1/344       20060101A I20051008RMEP         ,2
CN1066318A,  F01C  11/00        20060101A I20051008RMEP         ,3
CN1066318A,  F01C  20/10        20060101ALI20051220RMJP         ,4
CN1066318A,  F01C  20/14        20060101ALI20051220RMJP         ,5
CN1066318A,  F01C  20/26        20060101ALI20051220RMJP         ,6
CN1066318A,  F01C  21/00        20060101ALI20051220RMJP         ,7
CN1066318A,  F01C  21/08        20060101ALI20051220RMJP         ,8
CN1066318A,  F01C  21/10        20060101ALI20051220RMJP         ,9
CN1066318A,  F02B   1/04        20060101A N20051008RMEP         ,10
CN1066318A,  F02B  53/00        20060101ALI20051220RMJP         ,11
CN1066318A,  F02B  55/00        20060101A I20051008RMEP         ,12
CN1066318A,  F02B  55/10        20060101ALI20051220RMJP         ,13
CN1066318A,  F02B  75/02        20060101A N20051008RMEP,14
CN1195399A, B65G  69/04        20060101A I20051110RMEP         ,1
CN1195399A,  C10B   7/00        20060101A I20051008RMEP         ,2
CN1195399A,  C10B  31/02        20060101A I20051008RMEP         ,3
CN1195399A,  F27B   9/16        20060101A I20051110RMEP         ,4
CN1195399A,  F27B   9/38        20060101A I20051008RMEP         ,5
CN1195399A,  F27B  21/10        20060101ALI20000320BMRU         ,6
CN1195399A,  F27D   3/00        20060101ALI20000320BMRU,7
CN1166206A, G01R   1/073       20060101A I20051008RMEP         ,1
CN1166206A,  H01L  21/66        20060101ALI20051220RMJP,2
CN1206758A, D04B  15/82        20060101AFI20051220RMJP         ,1
CN1206758A,  D04B  15/68        20060101A I20051008RMEP         ,2
CN1206758A,  D04B  15/78        20060101A I20051008RMEP,3
CN1278808A, A61K  51/12        20060101A I20051008RMEP         ,1
CN1278808A,  A61N   5/10        20060101A I20051008RMEP         ,2
CN1278808A,  B01J  31/12        20060101ALI20051220RMJP         ,3
CN1278808A,  C07B  33/00        20060101ALI20051220RMJP         ,4
CN1278808A,  C07B  41/00        20060101A I20051008RMEP         ,5
CN1278808A,  C07B  61/00        20060101ALI20051220RMJP         ,6
CN1278808A,  C07D 301/12        20060101A I20051008RMEP         ,7
CN1278808A,  C07D 303/04        20060101A I20051008RMEP,8
CN1281402A, A61F   2/24        20060101A I20051008RMEP         ,1
CN1281402A,  B29C  33/60        20060101A I20051110RMEP         ,2
CN1281402A,  B29C  35/08        20060101A N20051008RMEP         ,3
CN1281402A,  B29C  59/16        20060101A I20051008RMEP,4
CN1347820A, B60Q   1/22        20060101A I20051110RMEP         ,1
CN1347820A,  B60Q  11/00        20060101A I20051110RMEP,2
CN1382195A, C09J 201/00        20060101AFI20051220RMJP         ,1
CN1382195A,  C03C  27/04        20060101A I20051008RMEP         ,2
CN1382195A,  C09J   5/00        20060101ALI20051220RMJP         ,3
CN1382195A,  C09J   5/06        20060101A I20051008RMEP,4
CN1349077A, F24J   2/34        20060101A I20051110RMCN,1
CN1385881A, H01L  21/78        20060101AFI20060101BMKR         ,1
CN1385881A,  B23K  26/00        20060101A I20051110RMTW         ,2
CN1385881A,  C09J   7/02        20060101A I20051110RMCN         ,3
CN1385881A,  H01L  21/302       20060101A I20051110RMEP         ,4
CN1385881A,  H01L  21/304       20060101A I20051110RMEP         ,5
CN1385881A,  H01L  21/68        20060101A I20051110RMEP,6
CN1370974A, F28D   7/10        20060101A I20051110RMEP         ,1
CN1370974A,  F28D   7/16        20060101A I20051110RMEP,2
CN1354778A, B01J   8/00        20060101A I20051008RMEP         ,1
CN1354778A,  B01J   8/26        20060101A I20051110RMEP         ,2
CN1354778A,  B01J   8/28        20060101A I20051008RMEP         ,3
CN1354778A,  B01J   8/32        20060101A I20051008RMEP         ,4
CN1354778A,  C10J   3/56        20060101A I20051110RMEP         ,5
CN1354778A,  F28D  15/02        20060101A I20051110RMEP,6
CN1310794C, B62D   5/04        20060101AFI20070418BHCN         ,1
CN1310794C,  B62D   5/07        20060101AFI20051220RMJP         ,2
CN1310794C,  B62D   5/06        20060101A I20051008RMEP         ,3
CN1310794C,  F16C  25/08        20060101A I20051008RMEP         ,4
CN1310794C,  F16C  27/06        20060101A I20051008RMEP         ,5
CN1310794C,  F16C  35/077       20060101A I20051008RMEP         ,6
CN1310794C,  H02K   5/173       20060101A I20051008RMEP         ,7
CN1310794C,  H02K   7/08        20060101ALI20051220RMJP         ,8
CN1310794C,  H02K   7/14        20060101ALI20051220RMJP,9
CN1429991A, F01C  21/10        20060101A I20051008RMEP         ,1
CN1429991A,  F04B  39/00        20060101A I20051008RMEP         ,2
CN1429991A,  F04C  18/02        20060101A I20051008RMEP         ,3
CN1429991A,  F04C  23/00        20060101A I20051008RMEP         ,4
CN1429991A,  F04C  29/06        20060101A I20051008RMEP,5
CN1517521A, F02D  45/00        20060101AFI20051220RMJP         ,1
CN1517521A,  F01N   3/02        20060101ALI20051220RMJP         ,2
CN1517521A,  F01N   3/023       20060101A I20051008RMEP         ,3
